Precinct,Political Party,Count of Voters by Party
,DEMOCRATIC,84
,Count of Voters in 0719:,93
720,,
,NO PARTY,1
,DEMOCRATIC,83
,INDEPENDENT,1
,REPUBLICAN,10
,NO AFFILIATION,2
,Count    Voters in 0720: of,97
721,,
,REPUBLICAN,3
,DEMOCRATIC,109
,Count of Voters in 0721:,112
722,,
,NO AFFILIATION,3
,DEMOCRATIC,84
,REPUBLICAN,2
,Count of Voters in 0722:,89
723,,
,NO AFFILIATION,4
,REPUBLICAN,5
,DEMOCRATIC,64
,Count of Voters in 0723:,73
801,,
,INDEPENDENT,1
,SOCIALIST,1
,NO AFFILIATION,33
,GREEN,2
,LIBERTARIAN,1
,REPUBLICAN,31
,CONSERVATIVE,1
,DEMOCRATIC,235
,Count of Voters in 0801:,305
802,,
,NON-PARTISAN,1
,NO AFFILIATION,33
,LIBERTARIAN,3
,INDEPENDENT,3
,REPUBLICAN,40
,DEMOCRATIC,277
,NONE,1
,Count of Voters in 0802:,358
803,,
,REPUBLICAN,51
,DEMOCRATIC,322
,LIBERTARIAN,1
,NON-PARTISAN,2
,NO AFFILIATION,48
,INDEPENDENT,3
,Count of Voters in 0803:,427
804,,
,NON-PARTISAN,3
,NO AFFILIATION,33
,GREEN,1
,LIBERTARIAN,2
,INDEPENDENT,2
,REPUBLICAN,49
804,,
,DEMOCRATIC,257
,NO PARTY,1
,Count of Voters in 0804:,348
805,,
,LIBERTARIAN,3
,NO AFFILIATION,45
,REPUBLICAN,63
,DEMOCRATIC,232
,NO PARTY,3
,NON-PARTISAN,2
,UNKNOWN,1
,INDEPENDENT,7
,Count of Voters in 0805:,356
806,,
,NO PARTY,2
,DEMOCRATIC,268
,INDEPENDENT,1
,REPUBLICAN,53
,LIBERTARIAN,1
,NO AFFILIATION,22
,GREEN,1
,NON-PARTISAN,4
,Count of Voters in 0806:,352
807,,
,INDEPENDENCE,1
,INDEPENDENT,3
,NO AFFILIATION,27
,LIBERTARIAN,2
,NO PARTY,1
,REPUBLICAN,39
,DEMOCRATIC,316
,Count of Voters in 0807:,389
808,,
,DEMOCRATIC,261
,LIBERTARIAN,2
,REPUBLICAN,56
,NON-PARTISAN,4
,NO AFFILIATION,35
,INDEPENDENT,4
,Count of Voters in 0808:,362
809,,
,DEMOCRATIC,281
,LIBERTARIAN,1
,NO AFFILIATION,39
,REPUBLICAN,35
,NO PARTY,2
,NON-PARTISAN,1
,OTHER,1
,INDEPENDENT,2
,Count of Voters in 0809:,362
810,,
,OTHER,1
,INDEPENDENT,7
,REPUBLICAN,69
,LIBERTARIAN,1
,NO AFFILIATION,38
,DEMOCRATIC,353
,Count of Voters in 0810:,469
811,,
,NO PARTY,1
,INDEPENDENT,3
,REPUBLICAN,34
,LIBERTARIAN,3
,DEMOCRATIC,152
,NO AFFILIATION,20
,NON-PARTISAN,3
,Count of Voters in 0811:,216
812,,
,OTHER,1
,INDEPENDENT,7
,REPUBLICAN,40
,NO AFFILIATION,30
,DEMOCRATIC,217
812,,
,NO PARTY,4
,Count of Voters in 0812:,299
813,,
,INDEPENDENT,3
,NO AFFILIATION,15
,DEMOCRATIC,178
,GREEN,1
,NO PARTY,1
,NON-PARTISAN,1
,REPUBLICAN,24
,Count of Voters in 0813:,223
814,,
,INDEPENDENT,5
,REPUBLICAN,47
,NO AFFILIATION,43
,NO PARTY,1
,DEMOCRATIC,321
,LIBERTARIAN,5
,Count of Voters in 0814:,422
815,,
,INDEPENDENT,1
,OTHER,1
,NO AFFILIATION,37
,DEMOCRATIC,222
,REPUBLICAN,60
,NO PARTY,2
,Count of Voters in 0815:,323
816,,
,DEMOCRATIC,336
,NO AFFILIATION,10
,OTHER,1
,INDEPENDENT,5
,NO PARTY,2
,REPUBLICAN,49
,Count of Voters in 0816:,403
817,,
,INDEPENDENT,1
,REPUBLICAN,49
,NO PARTY,4
,NONE,1
,DEMOCRATIC,174
,NO AFFILIATION,30
,NON-PARTISAN,2
,Count of Voters in 0817:,261
818,,
,NO AFFILIATION,30
,NON-PARTISAN,1
,DEMOCRATIC,324
,GREEN,2
,INDEPENDENT,5
,REPUBLICAN,44
,Count of Voters in 0818:,406
819,,
,DEMOCRATIC,274
,GREEN,1
,INDEPENDENT,2
,NO AFFILIATION,25
,NO PARTY,2
,NON-PARTISAN,4
,LIBERTARIAN,1
,REPUBLICAN,51
,Count of Voters in 0819:,360
820,,
,DEMOCRATIC,116
,NO AFFILIATION,18
,INDEPENDENT,1
,REPUBLICAN,28
,Count of Voters in 0820:,163
821,,
,OTHER,1
,INDEPENDENT,3
,DEMOCRATIC,279
,REPUBLICAN,50
821,,
,NO AFFILIATION,25
,Count of Voters in 0821:,358
822,,
,LIBERTARIAN,1
,DEMOCRATIC,91
,NO AFFILIATION,17
,NO PARTY,1
,REPUBLICAN,14
,Count of Voters in 0822:,124
823,,
,DEMOCRATIC,326
,NON-PARTISAN,2
,NO PARTY,4
,REPUBLICAN,36
,LIBERTARIAN,1
,NO AFFILIATION,38
,UNDECIDED,1
,GREEN,1
,Count of Voters in 0823:,409
824,,
,NON-PARTISAN,4
,GREEN,2
,LIBERTARIAN,1
,DEMOCRATIC,351
,INDEPENDENT,3
,NO PARTY,1
,REPUBLICAN,59
,NO AFFILIATION,49
,Count of Voters in 0824:,470
825,,
,NONE,1
,DEMOCRATIC,263
,NON-PARTISAN,4
,LIBERTARIAN,1
,REPUBLICAN,31
,NO AFFILIATION,28
,NO PARTY,3
,INDEPENDENT,4
,Count of Voters in 0825:,335
826,,
,NO AFFILIATION,51
,NO PARTY,4
,REPUBLICAN,42
,DEMOCRATIC,344
,INDEPENDENCE,1
,NONE,1
,INDEPENDENT,3
,NON-PARTISAN,2
,LIBERTARIAN,4
,OTHER,1
,Count of Voters in 0826:,453
827,,
,INDEPENDENT,1
,DEMOCRATIC,128
,LIBERTARIAN,1
,REPUBLICAN,17
,NO AFFILIATION,37
,Count of Voters in 0827:,184
828,,
,NO AFFILIATION,26
,DEMOCRATIC,323
,REPUBLICAN,23
,NON-PARTISAN,2
,INDEPENDENT,2
,GREEN,2
,Count of Voters in 0828:,378
829,,
,DEMOCRATIC,427
,NON-PARTISAN,3
,NO AFFILIATION,33
,REPUBLICAN,76
,CONSTITUTION,1
,GREEN,1
829,,
,INDEPENDENT,3
,Count of Voters in 0829:,544
830,,
,DEMOCRATIC,227
,LIBERTARIAN,3
,NON-PARTISAN,2
,NO AFFILIATION,23
,OTHER,1
,INDEPENDENT,6
,REPUBLICAN,30
,Count of Voters in 0830:,292
901,,
,INDEPENDENT,2
,REPUBLICAN,17
,NO AFFILIATION,13
,NON-PARTISAN,2
,DEMOCRATIC,356
,CONSUMER'S,1
,GREEN,2
,Count of Voters in 0901:,393
902,,
,NON-PARTISAN,1
,INDEPENDENT,1
,REPUBLICAN,16
,NO AFFILIATION,16
,GREEN,1
,DEMOCRATIC,371
,Count of Voters in 0902:,406
903,,
,INDEPENDENT,3
,REPUBLICAN,17
,NO AFFILIATION,27
,LIBERTARIAN,4
,NON-PARTISAN,2
,DEMOCRATIC,416
,OTHER,2
,Count of Voters in 0903:,471
904,,
,INDEPENDENT,3
,NO AFFILIATION,31
,REPUBLICAN,45
,DEMOCRATIC,263
,OTHER,1
,GREEN,2
,Count of Voters in 0904:,345
905,,
,NO AFFILIATION,26
,NO PARTY,1
,REPUBLICAN,47
,NON-PARTISAN,6
,INDEPENDENT,1
,INDEPENDENT REPUBLICAN,1
,LIBERTARIAN,2
,NONE,1
,GREEN,1
,CONSERVATIVE,1
,DEMOCRATIC,281
,Count of Voters in 0905:,368
906,,
,DEMOCRATIC,305
,GREEN,1
,LIBERTARIAN,1
,NON-PARTISAN,2
,INDEPENDENT,2
,REPUBLICAN,68
,NO AFFILIATION,24
,NO PARTY,1
,Count of Voters in 0906:,404
907,INDEPENDENT,4
,REPUBLICAN,71
907,,
,NO AFFILIATION,22
,LIBERTARIAN,1
,NONE,1
,NON-PARTISAN,3
,DEMOCRATIC,271
,GREEN,1
,OTHER,1
,Count of Voters in 0907:,375
908,,
,NO AFFILIATION,17
,REPUBLICAN,55
,UNKNOWN,1
,INDEPENDENT,4
,DEMOCRATIC,198
,NON-PARTISAN,2
,Count of Voters in 0908:,277
909,,
,NO AFFILIATION,39
,NO PARTY,1
,INDEPENDENT,4
,REPUBLICAN,67
,NON-PARTISAN,3
,GREEN,3
,DEMOCRATIC,406
,Count of Voters in 0909:,523
910,,
,DEMOCRATIC,341
,REPUBLICAN,111
,GREEN,2
,NON-PARTISAN,1
,NO AFFILIATION,28
,INDEPENDENT,5
,NO PARTY,1
,Count of Voters in 0910:,489
911,,
,GREEN,3
,INDEPENDENCE,1
,NON-PARTISAN,1
,LIBERTARIAN,2
,NO AFFILIATION,41
,REPUBLICAN,93
,DEMOCRATIC,411
,INDEPENDENT,6
,NO PARTY,1
,Count of Voters in 0911:,559
912,,
,NON-PARTISAN,1
,NO AFFILIATION,26
,DEMOCRATIC,385
,LIBERTARIAN,1
,REPUBLICAN,41
,INDEPENDENT,4
,NO PARTY,1
,Count of Voters in 0912:,459
913,,
,GREEN,2
,NON-PARTISAN,1
,NO AFFILIATION,25
,INDEPENDENT,3
,OTHER,1
,LIBERTARIAN,1
,REPUBLICAN,15
,DEMOCRATIC,364
,Count of Voters in 0913:,412
914,,
,GREEN,1
,NON-PARTISAN,1
,INDEPENDENT,1
,NO PARTY,1
,NO AFFILIATION,18
,REPUBLICAN,13
,DEMOCRATIC,303
,Count of Voters in 0914:,338
915,,
,GREEN,1
,NONE,1
,REPUBLICAN,12
,DEMOCRATIC,350
,NO AFFILIATION,23
,INDEPENDENT,3
,Count of Voters in 0915:,390
916,,
,INDEPENDENT,4
,NO AFFILIATION,16
,DEMOCRATIC,243
,NONE,1
,REPUBLICAN,12
,GREEN,1
,NON-PARTISAN,2
,RIGHT TO LIFE,1
,Count of Voters in 0916:,280
917,,
,GREEN,1
,NO AFFILIATION,15
,DEMOCRATIC,238
,REPUBLICAN,9
,NO PARTY,1
,INDEPENDENT,2
,Count of Voters in 0917:,266
1001,,
,LIBERTARIAN,1
,DEMOCRATIC,295
,INDEPENDENT,1
,REPUBLICAN,3
,UNKNOWN,2
,NO PARTY,1
,NO AFFILIATION,3
,Count of Voters in 1001:,306
1002,,
,DEMOCRATIC,364
,NO AFFILIATION,9
,NON-PARTISAN,1
,INDEPENDENT,1
,REPUBLICAN,9
,Count of Voters in 1002:,384
1003,,
,DEMOCRATIC,313
,REPUBLICAN,4
,INDEPENDENT,1
,NO AFFILIATION,5
,Count of Voters in 1003:,323
1004,,
,INDEPENDENT,1
,NO AFFILIATION,13
,REPUBLICAN,4
,DEMOCRATIC,284
,Count of Voters in 1004:,302
1005,,
,NO PARTY,1
,REPUBLICAN,3
,DEMOCRATIC,294
,NO AFFILIATION,5
,INDEPENDENT,1
,OTHER,2
,Count of Voters in 1005:,306
1006,,
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,4
,DEMOCRATIC,295
,NO AFFILIATION,4
,Count of Voters in 1006:,305
1007,,
,INDEPENDENT,1
,LIBERTARIAN,1
,REPUBLICAN,3
,NO AFFILIATION,4
1007,,
,DEMOCRATIC,299
,Count of Voters in 1007:,308
1008,,
,INDEPENDENT,1
,NO AFFILIATION,6
,DEMOCRATIC,270
,REPUBLICAN,4
,Count of Voters in 1008:,281
1009,,
,DEMOCRATIC,310
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 1009:,318
1010,,
,DEMOCRATIC,221
,NO AFFILIATION,3
,INDEPENDENT,1
,REPUBLICAN,2
,UNKNOWN,1
,Count of Voters in 1010:,228
1011,,
,NO PARTY,1
,REPUBLICAN,2
,DEMOCRATIC,248
,NO AFFILIATION,8
,LIBERTARIAN,1
,Count of Voters in 1011:,260
1012,,
,REPUBLICAN,1
,UNKNOWN,1
,INDEPENDENT,2
,UNDECIDED,1
,DEMOCRATIC,319
,NO AFFILIATION,10
,Count of Voters in 1012:,334
1013,,
,LIBERTARIAN,1
,NO AFFILIATION,4
,REPUBLICAN,8
,DEMOCRATIC,407
,INDEPENDENT,1
,Count of Voters in 1013:,421
1014,,
,DEMOCRATIC,405
,NO AFFILIATION,5
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,4
,NON-PARTISAN,1
,Count of Voters in 1014:,417
1015,,
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,6
,REPUBLICAN,5
,DEMOCRATIC,278
,Count of Voters in 1015:,290
1016,,
,DEMOCRATIC,292
,NO AFFILIATION,8
,REPUBLICAN,2
,Count of Voters in 1016:,302
1017,,
,NO PARTY,2
,NO AFFILIATION,6
,INDEPENDENT,4
,OTHER,2
,REPUBLICAN,2
,DEMOCRATIC,278
,Count of Voters in 1017:,294
1018,,
,DEMOCRATIC,267
,NO AFFILIATION,2
,REPUBLICAN,3
,NO PARTY,1
NO,Count of Voters in 1018:,273
1019,,
,REPUBLICAN,4
,INDEPENDENT,1
,INDEPENDENCE,1
,DEMOCRATIC,289
,NO AFFILIATION,10
,Count of Voters in 1019:,305
1020,,
,DEMOCRATIC,308
,GREEN,1
,INDEPENDENT,1
,REPUBLICAN,4
,NO AFFILIATION,7
,Count of Voters in 1020:,321
1021,,
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,314
,Count of Voters in 1021:,326
1022,,
,CONSTITUTION,1
,INDEPENDENT,2
,REPUBLICAN,2
,NO AFFILIATION,3
,NO PARTY,1
,DEMOCRATIC,239
,SOCIALIST,1
,Count of Voters in 1022:,249
1023,,
,LIBERTARIAN,1
,REPUBLICAN,4
,NO AFFILIATION,8
,NO PARTY,1
,DEMOCRATIC,303
,Count of Voters in 1023:,317
1024,,
,DEMOCRATIC,305
,NO AFFILIATION,1
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 1024:,310
1025,,
,REPUBLICAN,4
,UNKNOWN,1
,NO AFFILIATION,10
,DEMOCRATIC,312
,Count of Voters in 1025:,327
1026,,
,DEMOCRATIC,304
,INDEPENDENCE,1
,INDEPENDENT,1
,REPUBLICAN,2
,NO AFFILIATION,8
,Count of Voters in 1026:,316
1027,,
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,5
,DEMOCRATIC,282
,Count of Voters in 1027:,294
1028,,
,INDEPENDENT,1
,DEMOCRATIC,279
,GREEN,1
,NO AFFILIATION,5
,LIBERTARIAN,1
,REPUBLICAN,1
,Count of Voters in 1028:,288
1029,,
,NO AFFILIATION,5
,INDEPENDENT,1
,REPUBLICAN,7
,DEMOCRATIC,361
,Count of Voters in 1029:,374
1101,,
,DEMOCRATIC,142
,NO AFFILIATION,3
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 1101:,149
1102,,
,NO AFFILIATION,5
,REPUBLICAN,6
,DEMOCRATIC,210
,Count of Voters in 1102:,221
1103,,
,LIBERTARIAN,1
,NO AFFILIATION,2
,REPUBLICAN,6
,INDEPENDENT,2
,NO PARTY,2
,DEMOCRATIC,178
,Count of Voters in 1103:,191
1104,,
,CONSUMER'S,1
,DEMOCRATIC,68
,NO AFFILIATION,1
,REPUBLICAN,3
,Count of Voters in 1104:,73
1105,,
,NO AFFILIATION,2
,REPUBLICAN,4
,INDEPENDENT,2
,OTHER,2
,NONE,1
,UNKNOWN,1
1105,,
,DEMOCRATIC,105
,Count of Voters in 1105:,117
1106,,
,NO AFFILIATION,3
,REPUBLICAN,2
,DEMOCRATIC,112
,NO PARTY,1
,Count of Voters in 1106:,118
1107,,
,INDEPENDENT,2
,REPUBLICAN,4
,DEMOCRATIC,210
,NO AFFILIATION,3
,NO PARTY,1
,Count of Voters in 1107:,220
1108,,
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,7
,NO AFFILIATION,4
,DEMOCRATIC,245
,Count of Voters in 1108:,258
1109,,
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,6
,NO AFFILIATION,6
,NO PARTY,3
,DEMOCRATIC,213
,Count of Voters in 1109:,230
1110,,
,NO PARTY,1
,DEMOCRATIC,142
,NO AFFILIATION,2
,REPUBLICAN,4
,Count of Voters in 1110:,149
1111,,
,DEMOCRATIC,213
,NO AFFILIATION,3
,REPUBLICAN,14
,NO PARTY,1
,Count of Voters in 1111:,231
1112,,
,NO AFFILIATION,3
,REPUBLICAN,5
,DEMOCRATIC,136
,Count of Voters in 1112:,144
1113,,
,NO AFFILIATION,6
,DEMOCRATIC,216
,REPUBLICAN,5
,CONSTITUTION,1
,Count of Voters in 1113:,228
1114,,
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,1
,UNKNOWN,1
,DEMOCRATIC,169
,NO AFFILIATION,2
,Count of Voters in 1114:,175
1115,,
,NO AFFILIATION,3
,UNKNOWN,1
,DEMOCRATIC,111
,REPUBLICAN,7
,Count of Voters in 1115:,122
1116,,
,NO AFFILIATION,5
,DEMOCRATIC,227
,REPUBLICAN,4
,Count of Voters in 1116:,236
1117,,
,NO AFFILIATION,2
,OTHER,1
,DEMOCRATIC,125
,REPUBLICAN,4
,NO PARTY,1
,Count of Voters in 1117:,133
1118,,
,DEMOCRATIC,186
,NO AFFILIATION,4
,REFORM,1
,REPUBLICAN,6
,Count of Voters in 1118:,197
1119,,
,NO AFFILIATION,7
,NON-PARTISAN,1
,LIBERTARIAN,1
,OTHER,1
,GREEN,1
,DEMOCRATIC,236
,INDEPENDENT,2
,REPUBLICAN,6
,Count of Voters in 1119:,255
1120,,
,DEMOCRATIC,295
,INDEPENDENT,1
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,4
,Count of Voters in 1120:,307
1201,,
,NO AFFILIATION,5
,DEMOCRATIC,264
,NO PARTY,2
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,5
,Count of Voters in 1201:,278
1202,,
,NO PARTY,1
,REPUBLICAN,9
,DEMOCRATIC,245
,LIBERTARIAN,1
,NO AFFILIATION,6
,Count of Voters in 1202:,262
1203,,
,INDEPENDENT,2
,REPUBLICAN,5
,INDEPENDENT REPUBLICAN,1
,DEMOCRATIC,167
,NO AFFILIATION,2
,Count of Voters in 1203:,177
1204,,
,NO AFFILIATION,2
,DEMOCRATIC,166
,REPUBLICAN,1
,OTHER,1
,Count of Voters in 1204:,170
1205,,
,DEMOCRATIC,311
,INDEPENDENT,1
,LIBERTARIAN,1
,NO AFFILIATION,3
,NO PARTY,1
,REPUBLICAN,7
,Count of Voters in 1205:,324
1206,,
,NO AFFILIATION,11
,DEMOCRATIC,197
,INDEPENDENT,1
,REPUBLICAN,15
,NO PARTY,1
,Count of Voters in 1206:,225
1207,,
,UNKNOWN,2
,NO AFFILIATION,14
,DEMOCRATIC,272
,GREEN,1
,INDEPENDENT,2
,OTHER,1
,REPUBLICAN,5
,Count of Voters in 1207:,297
1208,,
,NO AFFILIATION,12
,UNKNOWN,1
,DEMOCRATIC,269
,INDEPENDENT,4
,PATRIOT,1
,REPUBLICAN,5
,NO PARTY,3
,Count of Voters in 1208:,295
1209,,
,DEMOCRATIC,224
,LIBERAL,1
,LIBERTARIAN,1
,NO AFFILIATION,8
,NON-PARTISAN,1
,REPUBLICAN,3
,UNDECIDED,1
,Count of Voters in 1209:,239
1210,,
,REPUBLICAN,4
,INDEPENDENT,1
,PATRIOT,1
,DEMOCRATIC,244
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,5
,Count of Voters in 1210:,257
1211,,
,INDEPENDENT,1
,OTHER,1
,SOCIALIST,1
,REPUBLICAN,10
,UNKNOWN,1
,GREEN,1
,DEMOCRATIC,261
,NO AFFILIATION,14
,Count of Voters in 1211:,290
1212,,
,NO PARTY,1
,ANARCHIST,1
,DEMOCRATIC,263
,NO AFFILIATION,9
,INDEPENDENT,1
,REPUBLICAN,3
,Count of Voters in 1212:,278
1213,,
,DEMOCRATIC,228
,NO AFFILIATION,10
,INDEPENDENT,1
,REPUBLICAN,5
,Count of Voters in 1213:,244
1214,,
,REPUBLICAN,7
,DEMOCRATIC,248
,LIBERTARIAN,1
,NO AFFILIATION,4
,UNKNOWN,1
,Count of Voters in 1214:,261
1215,,
,LIBERTARIAN,1
,NO AFFILIATION,9
,REPUBLICAN,9
,DEMOCRATIC,287
,INDEPENDENCE,2
,Count of Voters in 1215:,308
1216,,
,NO AFFILIATION,11
,MODERATE,1
1216,,
,INDEPENDENT,4
,REPUBLICAN,12
,CONSERVATIVE,1
,DEMOCRATIC,316
,Count of Voters in 1216:,345
1217,,
,NO AFFILIATION,5
,REPUBLICAN,8
,UNKNOWN,1
,GREEN,1
,DEMOCRATIC,294
,Count of Voters in 1217:,309
1218,,
,NO AFFILIATION,7
,LIBERTARIAN,1
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,5
,NO PARTY,3
,DEMOCRATIC,193
,GREEN,1
,Count of Voters in 1218:,212
1219,,
,OTHER,1
,REPUBLICAN,2
,DEMOCRATIC,180
,LIBERTARIAN,1
,NO AFFILIATION,7
,Count of Voters in 1219:,191
1220,,
,INDEPENDENT,1
,REPUBLICAN,3
,NON-PARTISAN,1
,COMMUNIST,1
,NO AFFILIATION,6
,DEMOCRATIC,204
,Count of Voters in 1220:,216
1221,,
,INDEPENDENT,1
,REPUBLICAN,1
,NO PARTY,3
,NO AFFILIATION,6
,GREEN,1
,DEMOCRATIC,170
,Count of Voters in 1221:,182
1222,,
,NO AFFILIATION,17
,GREEN,1
,LIBERTARIAN,2
,DEMOCRATIC,277
,INDEPENDENT,2
,REPUBLICAN,12
,Count of Voters in 1222:,311
1223,,
,GREEN,1
,NO AFFILIATION,19
,DEMOCRATIC,329
,NON-PARTISAN,1
,INDEPENDENT,4
,NO PARTY,2
,REPUBLICAN,20
,Count of Voters in 1223:,376
1224,,
,REPUBLICAN,4
,DEMOCRATIC,148
,NO AFFILIATION,6
,Count of Voters in 1224:,158
1301,,
,INDEPENDENT,1
,NO AFFILIATION,13
,GREEN,1
,NO PARTY,1
,REPUBLICAN,9
,DEMOCRATIC,275
,Count of Voters in 1301:,300
1302,,
,NO AFFILIATION,7
,REPUBLICAN,2
,DEMOCRATIC,196
,INDEPENDENT,1
,Count of Voters in 1302:,206
1303,,
,GREEN,1
,DEMOCRATIC,204
,INDEPENDENT,2
,REPUBLICAN,4
,NO AFFILIATION,6
,INDEPENDENCE,1
,Count of Voters in 1303:,218
1304,,
,LIBERTARIAN,1
,REPUBLICAN,8
,DEMOCRATIC,284
,NO AFFILIATION,13
,GREEN,1
,MODERATE,1
,INDEPENDENT,3
,Count of Voters in 1304:,311
1305,,
,GREEN,1
,INDEPENDENT,1
,NO AFFILIATION,8
,REPUBLICAN,10
,DEMOCRATIC,243
,CONSUMER'S,1
,NO PARTY,1
,Count of Voters in 1305:,265
1306,,
,REPUBLICAN,7
,DEMOCRATIC,260
,NO AFFILIATION,9
,Count of Voters in 1306:,276
1307,,
,DEMOCRATIC,180
,REPUBLICAN,5
,OTHER,1
,INDEPENDENT,1
,Count of Voters in 1307:,187
1308,,
,DEMOCRATIC,194
,REPUBLICAN,3
,NO AFFILIATION,3
,Count of Voters in 1308:,200
1309,,
,REPUBLICAN,3
,DEMOCRATIC,219
,NO AFFILIATION,2
,Count of Voters in 1309:,224
1310,,
,NO PARTY,2
,INDEPENDENT,1
,REPUBLICAN,4
,NO AFFILIATION,7
,OTHER,1
,DEMOCRATIC,192
,Count of Voters in 1310:,207
1311,,
,NO PARTY,1
,DEMOCRATIC,190
,INDEPENDENT,1
,REPUBLICAN,3
,NO AFFILIATION,3
,Count of Voters in 1311:,198
1312,,
,DEMOCRATIC,218
,OTHER,1
,NO AFFILIATION,3
,REPUBLICAN,3
,NO PARTY,1
,Count of Voters in 1312:,226
1313,,
,NO AFFILIATION,4
,REPUBLICAN,2
,INDEPENDENT,1
,DEMOCRATIC,214
,Count of Voters in 1313:,221
1314,,
,NO AFFILIATION,4
,REPUBLICAN,5
,DEMOCRATIC,283
,OTHER,1
,Count of Voters in 1314:,293
1315,,
,NO PARTY,1
,NO AFFILIATION,9
,GREEN,1
,DEMOCRATIC,207
,Count of Voters in 1315:,218
1316,,
,LIBERTARIAN,1
,NO AFFILIATION,7
,REPUBLICAN,4
,INDEPENDENT,1
,DEMOCRATIC,199
,Count of Voters in 1316:,212
1317,,
,UNKNOWN,2
,NON-PARTISAN,1
,DEMOCRATIC,232
,NO AFFILIATION,5
,REPUBLICAN,1
,Count of Voters in 1317:,241
1318,,
,LIBERTARIAN,1
,REPUBLICAN,9
,NO AFFILIATION,10
,OTHER,2
,NO PARTY,1
1318,,
,DEMOCRATIC,302
,Count of Voters in 1318:,325
1319,,
,UNKNOWN,1
,NO AFFILIATION,3
,REPUBLICAN,16
,DEMOCRATIC,251
,INDEPENDENT,1
,Count of Voters in 1319:,272
1320,,
,REPUBLICAN,4
,INDEPENDENT,2
,NO PARTY,1
,OTHER,1
,DEMOCRATIC,220
,NO AFFILIATION,6
,Count of Voters in 1320:,234
1321,,
,UNKNOWN,1
,NO PARTY,1
,REPUBLICAN,9
,OTHER,1
,NO AFFILIATION,6
,DEMOCRATIC,152
,Count of Voters in 1321:,170
1322,,
,NO AFFILIATION,10
,DEMOCRATIC,309
,GREEN,1
,REPUBLICAN,10
,Count of Voters in 1322:,330
1323,,
,NO PARTY,1
,DEMOCRATIC,174
,REPUBLICAN,6
,INDEPENDENT,2
,NO AFFILIATION,6
,Count of Voters in 1323:,189
1324,,
,REPUBLICAN,3
,OTHER,1
,DEMOCRATIC,128
,NO AFFILIATION,1
,UNKNOWN,1
,Count of Voters in 1324:,134
1325,,
,DEMOCRATIC,151
,NO AFFILIATION,1
,Count of Voters in 1325:,152
1401,,
,DEMOCRATIC,199
,LIBERTARIAN,1
,NONE,1
,INDEPENDENT,1
,REPUBLICAN,9
,NO AFFILIATION,23
,NO PARTY,3
,Count of Voters in 1401:,237
1402,,
,DEMOCRATIC,243
,INDEPENDENT,3
,REPUBLICAN,2
,NO AFFILIATION,6
,Count of Voters in 1402:,254
1403,,
,DEMOCRATIC,215
,LIBERTARIAN,1
,INDEPENDENT,2
,NO AFFILIATION,8
,Count of Voters in 1403:,226
1404,,
,DEMOCRATIC,334
1404,,
,CONSTITUTIONAL,1
,NO AFFILIATION,10
,LIBERTARIAN,1
,REPUBLICAN,7
,Count of Voters in 1404:,353
1405,,
,INDEPENDENT,1
,REPUBLICAN,2
,GREEN,2
,NO AFFILIATION,7
,DEMOCRATIC,129
,Count of Voters in 1405:,141
1406,,
,DEMOCRATIC,165
,NO AFFILIATION,5
,REPUBLICAN,7
,Count of Voters in 1406:,177
1407,,
,REPUBLICAN,1
,NO AFFILIATION,8
,DEMOCRATIC,121
,Count of Voters in 1407:,130
1408,,
,DEMOCRATIC,51
,DEMOCRATIC SOCIALIST,1
,NO AFFILIATI N,1
,Count of Voters in 1408:,53
1409,,
,REPUBLICAN,6
,DEMOCRATIC,177
,NO AFFILIATION,9
,LIBERTARIAN,1
,Count of Voters in 1409:,193
1410,,
,REPUBLICAN,19
,DEMOCRATIC,207
,GREEN,1
1410,,
,NO AFFILIATION,13
,Count of Voters in 1410:,240
1411,,
,DEMOCRATIC,217
,UNKNOWN,1
,REPUBLICAN,6
,NO AFFILIATION,3
,Count of Voters in 1411:,227
1501,,
,INDEPENDENT,2
,REPUBLICAN,36
,NO PARTY,1
,NON-PARTISAN,5
,DEMOCRATIC,326
,LIBERTARIAN,5
,NO AFFILIATION,29
,Count of Voters in 1501:,404
1502,,
,DEMOCRATIC,270
,NO AFFILIATION,42
,NO PARTY,1
,NON-PARTISAN,1
,INDEPENDENT,4
,REPUBLICAN,28
,GREEN,2
,INDEPENDENCE,1
,Count of Voters in 1502:,349
1503,,
,NON-PARTISAN,5
